X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,PHONE,ADMIN,FIRST_BUIL,LAST_BUILT,AGE,MSHDA,LIHTC,MARKET,RAP,SEC_515_UN,SEC_202_UN,BARRIER_FR,REHAB_CHOI,PUBLIC_HSG,SEC_221D3_,SEC_236_UN,SEC_8_UNIT,RS_UNITS,SPECIAL_HS,ELD_EFF,ELD_1BR,ELD_2BR,ELD_3BR,ELD_4BR,ELD_TOT,FAM_EFF,FAM_1BR,FAM_2BR,FAM_3BR,FAM_4BR,FAM_TOT
-83.021748455,42.480266542,17,127,Dunn Family Sr. Cit.,8400 Engleman,Center Line,MI,48015,Macomb,(586)756-3322,HUD,1970,1971,40,0,0,0,0,0,0,0,0,0,0,78,55,0,0,73,60,0,0,0,133,0,0,0,0,0,0
-83.1507187449999,42.5333839470001,18,198,Clawson Manor,255 W 14 Mile Rd,Clawson,MI,48017,Oakland,(248)435-5650,HUD,1970,1970,41,0,0,0,0,0,264,0,0,0,0,0,0,0,0,179,85,0,0,0,264,0,0,0,0,0,0
-83.3947782399999,42.4615786300001,19,209,Detroit Baptist Mnr Drake,23200 Drake Road,Farmington Hills,MI,48018,Oakland,(248)626-6100,HUD,1976,1976,35,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,97,5,0,0,102,0,0,0,0,0,0
-83.351141653,42.513967585,20,207,Detroit Baptist Manor Epsilon,30239 13 Mile,Farmington Hills,MI,48018,Oakland,(248)626-6100,HUD,1978,1978,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,95,5,0,0,100,0,0,0,0,0,0
-82.959334024,42.4645858120001,21,129,East Pointe Sr Housing,15701 9 Mile Road,Eastpointe,MI,48021,Macomb,(586)455-5099,Public Housing,1982,1983,28,0,0,0,0,0,0,4,0,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0
-82.959235099,42.4645768190001,22,132,Erin Manor,15711 Nine Mile,Eastpointe,MI,48021,Macomb,(586)445-5099,Public Housing,1968,1968,43,0,0,0,0,0,0,7,0,64,0,0,0,0,0,0,64,0,0,0,64,0,0,0,0,0,0
-83.1023622,42.405086667,23,390,Benjamin Manor,141 Manchester,Highland Park,MI,48023,Wayne,(313)867-4585,MSHDA,1994,1994,17,81,81,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,23,0,81
-83.346384239,42.4480652670001,24,201,Comm Living Center Mr - House I,21335 Tuck,Farmington Hills,MI,48024,Oakland,(248)478-0870,MSHDA,1973,1973,38,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,32,0,0,0,32,0,0,0,0,0,0
-83.375550735,42.456812223,25,213,Farmington Freedom Center,22550 Farmington,Farmington,MI,48024,Oakland,(248)477-2336,MSHDA,1979,1979,32,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0
-83.351294538,42.513967585,26,208,Detroit Baptist Manor Gamma,30245 13 Mile,Farmington Hills,MI,48024,Oakland,(248)626-6100,HUD,1976,1976,35,0,0,0,0,0,0,0,0,0,0,120,30,0,0,50,90,10,0,0,150,0,0,0,0,0,0
-83.351447422,42.513967585,27,206,Detroit Baptist Manor Alpha,30251 13 Mile,Farmington Hills,MI,48024,Oakland,(248)626-6100,HUD,1972,1972,39,0,0,0,0,0,0,0,0,0,0,61,40,0,0,40,50,11,0,0,101,0,0,0,0,0,0
-83.371871026,42.4629400530001,28,214,Farmington Place,32900 Grand River,Farmington,MI,48024,Oakland,(248)478-8544,HUD,1979,1979,32,0,0,0,0,0,0,18,0,0,0,0,151,0,0,0,146,5,0,0,151,0,0,0,0,0,0
-83.39078525,42.460373539,29,215,Freedom Square,34848 Freedom Road,Farmington Hills,MI,48024,Oakland,(248)442-7250,MSHDA,1991,1991,20,23,23,89,0,0,0,0,0,0,0,0,0,0,0,0,80,32,0,0,112,0,0,0,0,0,0
-83.394697301,42.4603015930001,30,195,Carrington Place,35250 Freedom Road,Farmington Hills,MI,48024,Oakland,(248)471-1780,MSHDA,1990,1990,21,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,89,11,0,0,100,0,0,0,0,0,0
-82.9420595299999,42.5249898270001,31,133,Fraser Woods,17195 Fraser Woods Dr,Fraser,MI,48026,Macomb,(586)294-3952,MSHDA,1978,1978,33,0,0,0,0,0,0,21,0,0,0,0,241,0,0,0,191,20,0,0,211,0,0,20,10,0,30
-82.924737106,42.5467388800001,32,123,Clinton Plaza,19345 Gaynon,Fraser,MI,48026,Macomb,(810)792-0110,HUD,1968,1969,42,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,36,288,36,0,360
-83.105304465,42.464663305,33,219,Hazelcrest,100 Hazelcrest Place,Hazel Park,MI,48030,Oakland,(248)542-5386,MSHDA,1979,1979,32,0,0,0,0,0,0,21,0,0,0,0,241,0,0,0,142,23,0,0,165,0,10,24,6,0,40
-83.098989742,42.4688036330001,34,217,Hazel Park Manor Coop,701 E Woodward Hts,Hazel Park,MI,48030,Oakland,(800)593-3052,HUD,1990,1990,21,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,71,0,0,0,71,0,0,0,0,0,0
-83.097757671,42.468821619,35,218,Hazel Pk American House,777 E Woodward Heights,Hazel Park,MI,48030,Oakland,(248)545-0707,MSHDA,1992,1992,19,26,26,99,0,0,0,12,0,0,0,0,0,0,0,0,89,36,0,0,125,0,0,0,0,0,0
-83.575155259,42.647819229,36,223,Highland Haven,917 S Duck Lake Road,Highland,MI,48031,Oakland,(248)889-2726,HUD,1990,1990,21,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,0,0,32,0,0,0,0,0,0
-83.404084741,42.5416936830001,37,220,Heckman Jewish Federation,6700 W Maple,West Bloomfield,MI,48033,Oakland,(248)661-5220,HUD,1982,1982,29,0,0,0,0,0,0,5,0,0,0,0,102,0,0,0,102,0,0,0,102,0,0,0,0,0,0
-83.2823000339999,42.4799248,38,254,River Park Place,24300 Civic Ctr Dr,Southfield,MI,48034,Oakland,(248)355-2810,MSHDA,1977,1977,34,0,0,0,0,0,0,7,0,0,0,0,246,0,0,0,169,15,0,0,184,0,22,32,8,0,62
-83.284618802,42.479163822,39,232,Mcdonnell Towers,24400 Civic Ctr Dr,Southfield,MI,48034,Oakland,(248)355-2810,MSHDA,1974,1974,37,0,0,0,97,0,0,0,0,0,0,65,0,0,0,0,154,8,0,0,162,0,0,0,0,0,0
-83.286571813,42.4740792060001,40,287,Woodridge Apts,25325 Grodan Dr,Southfield,MI,48034,Oakland,(248)355-2810,HUD,1979,1979,32,0,0,0,0,0,0,10,0,0,0,0,98,2,0,0,100,0,0,0,100,0,0,0,0,0,0
-83.3124977849999,42.4972581820001,41,246,Pebble Creek Place,28600 Pebble Creek Parkway,Southfield,MI,48034,Oakland,(248)351-9100,Other,1996,1996,15,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,152,39,0,256
-83.2369562169999,42.781476469,42,221,Heritage Place,211 Atwater St,Lake Orion,MI,48035,Oakland,(248)693-9197,HUD,1986,1986,25,0,0,0,0,0,1,0,0,0,0,0,57,0,0,14,44,0,0,0,58,0,0,0,0,0,0
-82.874637358,42.5576262230001,43,116,Church Of Christ Senior Hsg,23575 15 Mile Road #e5,Clinton Twp,MI,48035,Macomb,(586)791-2470,HUD,1981,1981,30,0,0,0,0,0,0,5,0,0,0,0,52,0,0,0,52,0,0,0,52,0,0,0,0,0,0
-83.239355925,42.7846635160001,44,270,Village Creek Manor,37 E Flint,Lake Orion,MI,48035,Oakland,(248)693-8391,MSHDA,1974,1974,37,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,20,0,0,0,20,0,0,0,0,0,0
-82.944244883,42.5543706770001,45,150,Peace Presbyterian,17275 15 Mile Road,Clinton Twp,MI,48036,Macomb,(586)790-4500,HUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,30,0,0,0,0,0,0
-82.863521737,42.607736446,46,118,Clemens Court,24213 Lotus Drive,Clinton Twp,MI,48036,Macomb, ,HUD,1970,1970,41,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,48,48,44,20,160
-82.964695466,42.6134381480001,47,107,American House Lakeside Ii,15821 19 Mile Road,Clinton Twp,MI,48038,Macomb,(866)353-5337,Other,1985,1985,26,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,94,69,0,0,163,0,0,0,0,0,0
-82.886381021,42.5702201780001,48,134,Harper Square,22933 N Nunneley Road,Clinton Twp,MI,48038,Macomb,(586)463-7511,Other,1997,1997,14,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,0,72
-82.970918774,42.6062975310001,49,156,St. George Tower,42250 Hayes Road,Clinton Twp,MI,48038,Macomb,(586)286-7212,HUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,204,0,0,0,204
-82.494132725,42.718122679,50,319,Walnut Village,225 S Elizabeth,Marine City,MI,48039,St. Clair,(810)765-5232,HUD,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0
-82.4932603829999,42.7177539570001,51,320,Walnut Village,230 S Main,Marine City,MI,48039,St. Clair,(810)765-5232,HUD,1982,1982,29,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.509295295,42.712852652,52,304,Mariner Cove Apts,6550 King Road,Marine City,MI,48039,St. Clair,(810)765-9685,Rural Housing,1993,1993,18,0,32,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,32
-82.509295295,42.712852652,53,305,Mariner Cove Senior Apts,6550 King Road,Marine City,MI,48039,St. Clair,(810)765-9685,Rural Housing,1993,1993,18,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.481479264,42.9155418510001,54,316,Vicksburg Halls,1100 New York Ave,Marysville,MI,48040,St. Clair,(810)364-4020,Public Housing,1981,1981,30,0,0,0,0,0,0,7,0,132,0,0,0,0,0,0,128,4,0,0,132,0,0,0,0,0,0
-82.7745413339999,42.8951901930001,55,144,Memphis Manor Apts,80585 Henderson,Memphis,MI,48041,Macomb,(810)392-2215,Rural Housing,1986,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,32
-82.773625507,42.8952137260001,56,289,Belle River Court Apts,81393 Belle River,Memphis,MI,48041,St. Clair,(810)392-3274,Rural Housing,1987,1987,24,0,24,0,0,24,0,1,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.773625507,42.8952137260001,57,288,Belle River Court,81393 Belle River Rd,Memphis,MI,48041,St. Clair, ,Rural Housing,1987,1987,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0
-82.870534967,42.605599506,58,120,Clemens Manor,101 Boehme Road,Mt. Clemens,MI,48043,Macomb,(586)468-1434,Public Housing,1980,1980,31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,3,18,15,0,0,36,0,0,0,0,0,0
-82.8660113769999,42.5983509710001,59,122,Clinton Place,147 North River Rd,Mt Clemens,MI,48043,Macomb,(586)468-8415,Public Housing,1980,1980,31,0,0,0,0,0,0,12,0,0,0,0,283,0,0,0,180,20,0,0,200,0,16,58,9,0,83
-82.927974665,42.5578005410001,60,161,Townhouse Plaza,19000 S Highlite Dr,Mt Clemens,MI,48043,Macomb,(586)791-0370,HUD,1967,1967,44,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,23,137,57,0,217
-82.8927212419999,42.6034681130001,61,135,Hubbard Apts,202 Hubbard Apt 2,Mt. Clemens,MI,48043,Macomb,(586)329-5922,HUD,1970,1976,35,0,44,28,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,24,20,0,0,48
-82.880877171,42.5842585950001,62,124,Clinton River Apts,220 Shadyside Dr,Mt Clemens,MI,48043,Macomb,(586)468-8415,HUD,1971,1971,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,12,20,0,0,32,0,0,0,0,0,0
-82.862746838,42.607461103,63,147,Newport Apts,24213 Lotus Drive,Mt Clemens,MI,48043,Macomb,(586)469-0010,HUD,1970,1976,35,0,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,42,126,0,0,168
-82.8714987239999,42.599750467,64,149,Park Place Tower,34 Park Street,Mt Clemens,MI,48043,Macomb,(586)469-6446,MSHDA,1974,1974,37,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,186,1,0,0,187,0,0,0,0,0,0
-82.8911564209999,42.5478630320001,65,126,Cordova Courts 1-3,34059 Stockman,Mt Clemens,MI,48043,Macomb,(586)791-7850,HUD,1969,1970,41,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,29,135,10,0,174
-82.889043015,42.554059361,66,125,Clinton Village,34947 Village,Mt Clemens,MI,48043,Macomb, ,Public Housing,1968,1968,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,8,0,12,18,14,52
-82.865221456,42.6063514910001,67,131,Elizabeth Lee Doles,42700 Colchester,Clinton Twp,MI,48043,Macomb,(586)463-0550,HUD,1986,1986,25,0,0,0,0,0,0,0,0,0,0,0,99,0,0,10,89,0,0,0,99,0,0,0,0,0,0
-82.881148449,42.594633324,68,121,Clemens Tower,50 Church,Mt. Clemens,MI,48043,Macomb,(586)468-1434,Public Housing,1977,1977,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,0,0,95,0,0,0,0,0,0
-82.881148449,42.594633324,69,119,Clemens Homes 28-1,Scattered Sites,Mt Clemens,MI,48043,Macomb,(586)468-1434,Public Housing,1959,1961,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,12,36,29,23,100
-82.9656202849999,42.612596232,70,136,Lakeside Ii American House,15731 19 Mile Rd,Mt Clemens,MI,48044,Macomb,(586)228-8889,MSHDA,1991,1991,20,26,26,57,0,0,0,0,0,0,0,0,0,0,0,0,48,35,0,0,83,0,0,0,0,0,0
-82.9723831869999,42.606309971,71,157,St. George Tower,42250 Hayes Road,Mt Clemens,MI,48044,Macomb,(810)286-7212,HUD,1981,1981,30,0,0,0,0,0,0,10,0,0,0,0,204,0,0,0,204,0,0,0,204,0,0,0,0,0,0
-82.8491415779999,42.5694343210001,72,145,Metro Towers,26450 Crocker,Mt. Clemens,MI,48045,Macomb,(586)296-2320,HUD,1976,1983,28,0,0,214,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,132,132,0,0,264
-82.847702663,42.568561979,73,106,Ahepa 371,26700 Crocker Blvd,Harrison Twp,MI,48045,Macomb,(586)465-8682,HUD,1990,1990,21,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0
-82.858681903,42.554832778,74,112,Brittany Park,35255 Brittany Park St,Mt Clemens,MI,48045,Macomb,(586)792-2900,HUD,1970,1971,40,0,0,367,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,8,252,137,0,0,397
-82.8638799839999,42.5660563170001,75,117,Cleave House - Hep,36588 Union Lake,Mt Clemens,MI,48045,Macomb,(586)792-4425,MSHDA,1977,1977,34,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,16,0,0,0,16,0,0,0,0,0,0
-82.7515561449999,42.6739085610001,76,158,The Mdws At Anchor Bay-new Balt.,50735 Jefferson Ave,New Baltimore,MI,48047,Macomb,(586)725-7600,MSHDA,2001,2001,10,40,0,60,0,0,0,10,0,0,0,0,0,0,0,0,40,60,0,0,100,0,0,0,0,0,0
-82.744595392,42.678180341,77,146,New Baltimore Place,51140 Hooker,New Baltimore,MI,48047,Macomb,(586)725-8470,Public Housing,1979,1979,32,0,100,0,0,0,0,10,0,0,0,0,100,0,0,0,97,3,0,0,100,0,0,0,0,0,0
-82.80351749,42.7382225260001,78,152,Pine Woods,3010 John River,New Haven,MI,48048,Macomb,(586)749-6570,Public Housing,0,0,0,0,0,0,0,0,0,2,0,88,0,0,0,0,0,0,30,0,0,0,30,0,0,35,23,0,58
-82.7848850189999,42.7319957710001,79,151,Perry Acres,32560 James Curtain,New Haven,MI,48048,Macomb,(586)749-9529,HUD,1981,1981,30,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,12,6,0,24
-82.791845772,42.7337404560001,80,111,Bramblewood Senior Apts,31950 Clark St,New Haven,MI,48048,Macomb,(586)749-9268,Other,1998,1998,13,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,32,32,0,0,0,0,32
-82.821953591,42.682131811,81,115,Chesterfield Glen,52280 Rutherford Circle,New Baltimore,MI,48051,Macomb,(586)949-0380,Other,1998,1998,13,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,76,36,148
-83.270276098,42.614625253,82,191,Bloomfield Hills Th Coop,155 Charles Ln,Pontiac,MI,48053,Oakland,(248)335-7452,HUD,1967,1967,44,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,94,142,49,0,285
-83.303783355,42.6180281370001,83,204,Crystal Lake Apts.,850 Golf Drive,Pontiac,MI,48053,Oakland,(248)335-6622,MSHDA,1988,1988,23,29,20,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,108,0,0,144
-83.339558385,42.639638845,84,226,Lakeland Place,2700 Elizabeth Lake,Pontiac,MI,48054,Oakland,(248)682-3122,MSHDA,1977,1977,34,0,0,0,0,0,0,8,0,0,0,0,200,0,0,0,182,18,0,0,200,0,0,0,0,0,0
-83.334423256,42.652049489,85,278,Waterford Meadows,834 Alpha Parkway,Pontiac,MI,48054,Oakland,(248)683-2224,MSHDA,1978,1978,33,0,148,0,0,0,0,2,0,0,0,0,200,0,0,0,45,5,0,0,50,0,30,90,30,0,150
-83.316301918,42.6650177130001,86,216,Grosvenor North,109 Stegman Ln,Pontiac,MI,48055,Oakland,(248)334-2467,HUD,1968,1968,43,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,92,24,0,116
-83.317866738,42.667760645,87,286,Woodland Square Coop,111 Starlite Dr,Pontiac,MI,48055,Oakland,(248)335-5462,HUD,1971,1971,40,0,0,0,0,0,0,0,0,0,18,0,54,0,0,0,0,0,0,0,0,0,10,56,6,0,72
-83.304684159,42.684286738,88,243,Oakland American Hse Aka Lakehaven,1915 Baldwin Rd,Pontiac,MI,48055,Oakland,(248)335-7020,MSHDA,1989,1989,22,32,161,128,0,0,0,0,0,0,0,0,0,0,0,0,120,40,0,0,160,0,0,0,0,0,0
-83.317229701,42.6726764900001,89,275,Walton Park Manor Coops 1-2,26 Leanee Lane,Pontiac,MI,48055,Oakland,(248)338-2000,HUD,1970,1970,41,0,0,0,0,0,0,0,0,0,79,0,100,0,0,0,24,140,15,0,179,0,0,0,0,0,0
-83.3135499919999,42.673534293,90,264,Sycamore Glade Aka Edgewood Pk,370 W. Hopkins,Pontiac,MI,48055,Oakland,(248)588-7611,HUD,1974,1983,28,0,0,48,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,68,100,0,0,168
-83.315853738,42.6674874020001,91,212,Fairmont Farms Coop I And Ii,436 W Fairmont,Pontiac,MI,48055,Oakland,(248)338-4259,HUD,1971,1971,40,0,0,0,0,0,0,0,0,0,0,20,112,9,90,0,0,0,0,0,0,0,7,114,9,0,130
-83.2240869189999,42.684457609,92,202,Countryside Ii,3474 Brookshear,Auburn Hills,MI,48057,Oakland,(248)373-8359,MSHDA,1972,1972,39,0,0,0,0,0,0,0,0,0,0,161,0,40,0,0,0,0,0,0,0,0,42,120,39,0,201
-83.2240869189999,42.684457609,93,203,Countryside II,3474 Brookshear,Auburn Hills,MI,48057,Oakland,(248)373-1200,MSHDA,1974,1974,37,0,0,0,0,0,0,0,0,0,0,214,0,24,0,0,0,0,0,0,0,0,92,122,24,0,238
-83.25682224,42.655355548,94,227,Lancaster Village Coop,633 Palmer Dr,Pontiac,MI,48057,Oakland,(248)373-8280,HUD,1969,1969,42,0,0,0,0,0,0,0,0,0,0,50,237,0,0,0,0,0,0,0,0,0,27,220,40,0,287
-83.2719848099999,42.6417577990001,95,285,Woodland Heights,120 N Edith,Pontiac,MI,48058,Oakland,(248)332-8345,Public Housing,1969,1969,42,0,0,0,0,0,0,0,0,197,0,0,0,0,0,116,80,1,0,0,197,0,0,0,0,0,0
-83.2754007519999,42.641779232,96,258,Sanford Arms Apts,121 Fiddis,Pontiac,MI,48058,Oakland,(248)335-4848,HUD,1971,1971,40,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,22,117,22,0,161
-83.284672762,42.637768255,97,250,Pontiac Th Coop,171 E Pike,Pontiac,MI,48058,Oakland,(810)335-7148,HUD,1964,1964,47,0,0,0,0,0,0,0,0,0,25,0,40,0,0,0,0,0,0,0,0,0,11,31,18,5,65
-83.261551192,42.6322644050001,98,194,Carriage Circle,255 Carriage Circle,Pontiac,MI,48058,Oakland,(248)332-8345,Public Housing,1968,1968,43,0,0,0,0,0,0,0,0,234,0,0,0,0,0,141,86,7,0,0,234,0,0,0,0,0,0
-83.318784046,42.665620259,99,239,North Hill Farms I,26 Lantern Ln,Pontiac,MI,48058,Oakland,(248)334-7500,HUD,1969,1969,42,0,0,0,0,0,0,0,0,0,0,0,199,0,0,60,100,39,0,0,199,0,0,0,0,0,0
-83.318784046,42.665620259,100,240,North Hill Farms II,26 Lantern Ln,Pontiac,MI,48058,Oakland,(248)334-7500,HUD,1970,1970,41,0,328,0,0,0,0,0,0,0,31,0,294,0,0,0,0,0,0,0,0,95,165,65,0,0,325
-83.2884049479999,42.6353220990001,101,247,Phoenix Place,"351 Wide Track Dr, E",Pontiac,MI,48058,Oakland,(248)335-7520,Mid. Hi-Rise,1984,1984,27,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,200,0,0,0,200,0,0,0,0,0,0
-83.27232507,42.653605316,102,282,Woodcrest Commons,550 Desota Place,Pontiac,MI,48058,Oakland,(248)334-6262,MSHDA,1984,1984,27,94,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,2,235
-83.261416294,42.6568158960001,103,238,Newman Court,626 Kettering,Pontiac,MI,48058,Oakland,(248)373-7298,HUD,1970,1970,41,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,36,82,54,0,172
-82.453888064,43.027714287,104,301,Heritage Grove,2900 Heritage Drive,Fort Gratiot,MI,48059,St. Clair,(810)385-9904,HUD,0,0,0,0,0,85,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,24,68,8,0,100
